"","Leyte_b","Leyte_r2","Leyte_p","Cebu_b","Cebu_r2","Cebu_p"
"AC1359",0.000548128826490886,0.422244413586688,0.007,2.12652067509398e-06,7.31885757238e-05,0.434
"AC1578",9.7279710788166e-05,0.0458051863351134,0.172,-1.30240287362620e-05,0.00366008937901101,0.623
"AC915",-3.74527985649147e-05,0.0204004415394339,0.731,-5.40188678405441e-06,0.0228848034845423,0.837
"ACH_B6",2.88728386779632e-05,0.073993511819018,0.093,1.48104223163900e-05,0.00992471622777803,0.247
"ACH_C1",8.35938039266485e-05,0.0718475308711808,0.139,1.26252830878334e-05,0.00395044995332895,0.301
"ACH_D1",5.11342649161841e-05,0.0961443945024174,0.079,4.60544874165600e-05,0.0990400134456587,0.024
"APR_Cf29",1.50194314205892e-05,0.0269343444858233,0.229,4.14495367135291e-05,0.0359816536547738,0.102
"APR_Cf8",-2.78086176145508e-05,0.00269737515342282,0.532,-2.50928041798836e-06,0.000543965986952539,0.505
"APY_45",0.000123603137041072,0.0748910056028331,0.144,-4.27847592556572e-05,0.0409793155791647,0.936
"APY_65",-2.15133646540405e-05,0.0237017974080136,0.762,-2.47600886652521e-05,0.0167852793285121,0.801
"NNG_004",4.58192289359019e-06,0.00155792112376682,0.362,-5.51443175374901e-05,0.0109196016366593,0.698
"NNG_012",6.31256909834123e-05,0.0152082852476344,0.265,7.87853365156126e-05,0.0444896112766222,0.096
"NNG_028",1.34542675167860e-05,0.00219367628111285,0.352,-6.8806540875387e-06,0.00379025313495559,0.633
