FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,-0.0098,,,,,,,,,,,
3,-0.0128,-0.0141,,,,,,,,,,
4,-0.0111,-0.0112,-0.0111,,,,,,,,,
5,0.0374,0.028,0.0255,-0.0001,,,,,,,,
6,-0.0102,-0.0131,-0.0221,-0.0097,0.0189,,,,,,,
7,-0.0163,-0.0199,-0.0212,-0.0256,-0.0021,-0.0228,,,,,,
8,-0.0429,-0.0474,-0.0473,-0.0331,-0.0075,-0.055,-0.0642,,,,,
9,0.057,-0.0523,0.0378,0.0013,-0.061,-0.0001,-0.0539,-0.0811,,,,
10,0.3528,0.2524,0.3411,0.2601,0.124,0.289,0.2091,0.2743,-0.6923,,,
11,-0.0068,-0.0246,-0.01,-0.0054,0.0417,-0.0091,-0.0143,-0.0256,-0.0041,0.3112,,
12,-0.0674,-0.108,-0.0509,-0.0658,0.0313,-0.0613,-0.0914,-0.124,-0.0909,0.4737,-0.0864,0
